"Month","Year","State","Indicator","Value"
"May",2022,"Alaska","Symptoms of Anxiety Disorder",26.1
"Nov",2022,"Alaska","Symptoms of Anxiety Disorder",30.6
"Oct",2022,"Alaska","Symptoms of Anxiety Disorder",31
"Sep",2022,"Alaska","Symptoms of Anxiety Disorder",34.4
"Aug",2020,"Arizona","Symptoms of Anxiety Disorder",30.4
"Dec",2020,"Arizona","Symptoms of Anxiety Disorder",34.15
"Jul",2020,"Arizona","Symptoms of Anxiety Disorder",39.2666666666667
"Jun",2020,"Arizona","Symptoms of Anxiety Disorder",31.74
"May",2020,"Arizona","Symptoms of Anxiety Disorder",31.2
"Nov",2020,"Arizona","Symptoms of Anxiety Disorder",37.35
"Oct",2020,"Arizona","Symptoms of Anxiety Disorder",33.4
"Sep",2020,"Arizona","Symptoms of Anxiety Disorder",34.15
"Apr",2021,"Arizona","Symptoms of Anxiety Disorder",30.3
"Aug",2021,"Arizona","Symptoms of Anxiety Disorder",28.3666666666667
"Dec",2021,"Arizona","Symptoms of Anxiety Disorder",26.9
"Feb",2021,"Arizona","Symptoms of Anxiety Disorder",34.85
"Jan",2021,"Arizona","Symptoms of Anxiety Disorder",33.5
"Jul",2021,"Arizona","Symptoms of Anxiety Disorder",27.4
"Jun",2021,"Arizona","Symptoms of Anxiety Disorder",27.15
"Mar",2021,"Arizona","Symptoms of Anxiety Disorder",31.2333333333333
"May",2021,"Arizona","Symptoms of Anxiety Disorder",24.4
"Oct",2021,"Arizona","Symptoms of Anxiety Disorder",29.6
"Sep",2021,"Arizona","Symptoms of Anxiety Disorder",26.9
"Apr",2022,"Arizona","Symptoms of Anxiety Disorder",26.7
"Aug",2022,"Arizona","Symptoms of Anxiety Disorder",29
"Dec",2022,"Arizona","Symptoms of Anxiety Disorder",27.3
"Feb",2022,"Arizona","Symptoms of Anxiety Disorder",26.1
"Jan",2022,"Arizona","Symptoms of Anxiety Disorder",30.5
"Jul",2022,"Arizona","Symptoms of Anxiety Disorder",28
"Jun",2022,"Arizona","Symptoms of Anxiety Disorder",30.7
"Mar",2022,"Arizona","Symptoms of Anxiety Disorder",28.7
"May",2022,"Arizona","Symptoms of Anxiety Disorder",25.7
"Nov",2022,"Arizona","Symptoms of Anxiety Disorder",29.3
"Oct",2022,"Arizona","Symptoms of Anxiety Disorder",35.4
"Sep",2022,"Arizona","Symptoms of Anxiety Disorder",34.5
"Aug",2020,"Arkansas","Symptoms of Anxiety Disorder",30.5
"Dec",2020,"Arkansas","Symptoms of Anxiety Disorder",37.85
"Jul",2020,"Arkansas","Symptoms of Anxiety Disorder",37.1666666666667
"Jun",2020,"Arkansas","Symptoms of Anxiety Disorder",33.36
"May",2020,"Arkansas","Symptoms of Anxiety Disorder",30.025
"Nov",2020,"Arkansas","Symptoms of Anxiety Disorder",38.9
"Oct",2020,"Arkansas","Symptoms of Anxiety Disorder",33.7
"Sep",2020,"Arkansas","Symptoms of Anxiety Disorder",32.35
"Apr",2021,"Arkansas","Symptoms of Anxiety Disorder",26.1
"Aug",2021,"Arkansas","Symptoms of Anxiety Disorder",29.9666666666667
"Dec",2021,"Arkansas","Symptoms of Anxiety Disorder",29.7
"Feb",2021,"Arkansas","Symptoms of Anxiety Disorder",36.6
"Jan",2021,"Arkansas","Symptoms of Anxiety Disorder",37.6
"Jul",2021,"Arkansas","Symptoms of Anxiety Disorder",24.1
"Jun",2021,"Arkansas","Symptoms of Anxiety Disorder",27.65
"Mar",2021,"Arkansas","Symptoms of Anxiety Disorder",34.9333333333333
"May",2021,"Arkansas","Symptoms of Anxiety Disorder",29.85
"Oct",2021,"Arkansas","Symptoms of Anxiety Disorder",33.8
"Sep",2021,"Arkansas","Symptoms of Anxiety Disorder",30.3
"Apr",2022,"Arkansas","Symptoms of Anxiety Disorder",26.9
"Aug",2022,"Arkansas","Symptoms of Anxiety Disorder",27
"Dec",2022,"Arkansas","Symptoms of Anxiety Disorder",32.1
"Feb",2022,"Arkansas","Symptoms of Anxiety Disorder",34.4
"Jan",2022,"Arkansas","Symptoms of Anxiety Disorder",36.1
"Jul",2022,"Arkansas","Symptoms of Anxiety Disorder",34.6
"Jun",2022,"Arkansas","Symptoms of Anxiety Disorder",33
"Mar",2022,"Arkansas","Symptoms of Anxiety Disorder",33.1
"May",2022,"Arkansas","Symptoms of Anxiety Disorder",26
"Nov",2022,"Arkansas","Symptoms of Anxiety Disorder",36.3
"Oct",2022,"Arkansas","Symptoms of Anxiety Disorder",39.1
"Sep",2022,"Arkansas","Symptoms of Anxiety Disorder",38.3
"Aug",2020,"California","Symptoms of Anxiety Disorder",32.4
"Dec",2020,"California","Symptoms of Anxiety Disorder",37.85
"Jul",2020,"California","Symptoms of Anxiety Disorder",36.9666666666667
"Jun",2020,"California","Symptoms of Anxiety Disorder",33.56
"May",2020,"California","Symptoms of Anxiety Disorder",31.225
"Nov",2020,"California","Symptoms of Anxiety Disorder",38.6
"Oct",2020,"California","Symptoms of Anxiety Disorder",35.75
"Sep",2020,"California","Symptoms of Anxiety Disorder",35.7
"Apr",2021,"California","Symptoms of Anxiety Disorder",30.5
"Aug",2021,"California","Symptoms of Anxiety Disorder",26.9666666666667
"Dec",2021,"California","Symptoms of Anxiety Disorder",25.2
"Feb",2021,"California","Symptoms of Anxiety Disorder",37.7
"Jan",2021,"California","Symptoms of Anxiety Disorder",39.9
"Jul",2021,"California","Symptoms of Anxiety Disorder",24.7
"Jun",2021,"California","Symptoms of Anxiety Disorder",26.85
"Mar",2021,"California","Symptoms of Anxiety Disorder",34.3
"May",2021,"California","Symptoms of Anxiety Disorder",27.5
"Oct",2021,"California","Symptoms of Anxiety Disorder",28.7
"Sep",2021,"California","Symptoms of Anxiety Disorder",27.8
"Apr",2022,"California","Symptoms of Anxiety Disorder",25.9
"Aug",2022,"California","Symptoms of Anxiety Disorder",30.1
"Dec",2022,"California","Symptoms of Anxiety Disorder",27.1
"Feb",2022,"California","Symptoms of Anxiety Disorder",28.4
"Jan",2022,"California","Symptoms of Anxiety Disorder",27.1
"Jul",2022,"California","Symptoms of Anxiety Disorder",28.1
"Jun",2022,"California","Symptoms of Anxiety Disorder",30.8
"Mar",2022,"California","Symptoms of Anxiety Disorder",28.8
"May",2022,"California","Symptoms of Anxiety Disorder",28
"Nov",2022,"California","Symptoms of Anxiety Disorder",32.8
"Oct",2022,"California","Symptoms of Anxiety Disorder",31.6
"Sep",2022,"California","Symptoms of Anxiety Disorder",33.5
"Aug",2020,"Colorado","Symptoms of Anxiety Disorder",32.6
"Dec",2020,"Colorado","Symptoms of Anxiety Disorder",38.6
"Jul",2020,"Colorado","Symptoms of Anxiety Disorder",36.2
"Jun",2020,"Colorado","Symptoms of Anxiety Disorder",29.96
"May",2020,"Colorado","Symptoms of Anxiety Disorder",29.675
"Nov",2020,"Colorado","Symptoms of Anxiety Disorder",41.35
"Oct",2020,"Colorado","Symptoms of Anxiety Disorder",33.45
"Sep",2020,"Colorado","Symptoms of Anxiety Disorder",33.8
"Apr",2021,"Colorado","Symptoms of Anxiety Disorder",25.9
"Aug",2021,"Colorado","Symptoms of Anxiety Disorder",26.2666666666667
"Dec",2021,"Colorado","Symptoms of Anxiety Disorder",27.9
"Feb",2021,"Colorado","Symptoms of Anxiety Disorder",34.2
"Jan",2021,"Colorado","Symptoms of Anxiety Disorder",36.6
"Jul",2021,"Colorado","Symptoms of Anxiety Disorder",24.1
"Jun",2021,"Colorado","Symptoms of Anxiety Disorder",25.05
"Mar",2021,"Colorado","Symptoms of Anxiety Disorder",33.0666666666667
"May",2021,"Colorado","Symptoms of Anxiety Disorder",26.95
"Oct",2021,"Colorado","Symptoms of Anxiety Disorder",29.1
"Sep",2021,"Colorado","Symptoms of Anxiety Disorder",26.7
"Apr",2022,"Colorado","Symptoms of Anxiety Disorder",28.6
"Aug",2022,"Colorado","Symptoms of Anxiety Disorder",29.2
"Dec",2022,"Colorado","Symptoms of Anxiety Disorder",27.9
"Feb",2022,"Colorado","Symptoms of Anxiety Disorder",25.4
"Jan",2022,"Colorado","Symptoms of Anxiety Disorder",26.7
"Jul",2022,"Colorado","Symptoms of Anxiety Disorder",29.3
"Jun",2022,"Colorado","Symptoms of Anxiety Disorder",30.2
"Mar",2022,"Colorado","Symptoms of Anxiety Disorder",24
"May",2022,"Colorado","Symptoms of Anxiety Disorder",20.9
"Nov",2022,"Colorado","Symptoms of Anxiety Disorder",29.7
"Oct",2022,"Colorado","Symptoms of Anxiety Disorder",31.2
"Sep",2022,"Colorado","Symptoms of Anxiety Disorder",32.5
"Aug",2020,"Connecticut","Symptoms of Anxiety Disorder",33.9
"Dec",2020,"Connecticut","Symptoms of Anxiety Disorder",36.1
"Jul",2020,"Connecticut","Symptoms of Anxiety Disorder",31.6666666666667
"Jun",2020,"Connecticut","Symptoms of Anxiety Disorder",31.3
"May",2020,"Connecticut","Symptoms of Anxiety Disorder",29.35
"Nov",2020,"Connecticut","Symptoms of Anxiety Disorder",35.85
"Oct",2020,"Connecticut","Symptoms of Anxiety Disorder",30.45
"Sep",2020,"Connecticut","Symptoms of Anxiety Disorder",31.75
"Apr",2021,"Connecticut","Symptoms of Anxiety Disorder",27.3
"Aug",2021,"Connecticut","Symptoms of Anxiety Disorder",22.7333333333333
"Dec",2021,"Connecticut","Symptoms of Anxiety Disorder",25.7
"Feb",2021,"Connecticut","Symptoms of Anxiety Disorder",35.05
"Jan",2021,"Connecticut","Symptoms of Anxiety Disorder",35.3
"Jul",2021,"Connecticut","Symptoms of Anxiety Disorder",22.9
"Jun",2021,"Connecticut","Symptoms of Anxiety Disorder",23.9
"Mar",2021,"Connecticut","Symptoms of Anxiety Disorder",30.6333333333333
"May",2021,"Connecticut","Symptoms of Anxiety Disorder",26.6
"Oct",2021,"Connecticut","Symptoms of Anxiety Disorder",25.1
"Sep",2021,"Connecticut","Symptoms of Anxiety Disorder",24.85
"Apr",2022,"Connecticut","Symptoms of Anxiety Disorder",23.3
"Aug",2022,"Connecticut","Symptoms of Anxiety Disorder",26.2
"Dec",2022,"Connecticut","Symptoms of Anxiety Disorder",24.1
"Feb",2022,"Connecticut","Symptoms of Anxiety Disorder",26.4
"Jan",2022,"Connecticut","Symptoms of Anxiety Disorder",28
"Jul",2022,"Connecticut","Symptoms of Anxiety Disorder",30.3
"Jun",2022,"Connecticut","Symptoms of Anxiety Disorder",25.9
"Mar",2022,"Connecticut","Symptoms of Anxiety Disorder",25.3
"May",2022,"Connecticut","Symptoms of Anxiety Disorder",24.9
"Nov",2022,"Connecticut","Symptoms of Anxiety Disorder",30.9
"Oct",2022,"Connecticut","Symptoms of Anxiety Disorder",32.1
"Sep",2022,"Connecticut","Symptoms of Anxiety Disorder",29.5
"Aug",2020,"Delaware","Symptoms of Anxiety Disorder",24.6
"Dec",2020,"Delaware","Symptoms of Anxiety Disorder",34.4
"Jul",2020,"Delaware","Symptoms of Anxiety Disorder",29.1
"Jun",2020,"Delaware","Symptoms of Anxiety Disorder",27.18
"May",2020,"Delaware","Symptoms of Anxiety Disorder",26.4
"Nov",2020,"Delaware","Symptoms of Anxiety Disorder",34.8
"Oct",2020,"Delaware","Symptoms of Anxiety Disorder",32.25
"Sep",2020,"Delaware","Symptoms of Anxiety Disorder",27.3
"Apr",2021,"Delaware","Symptoms of Anxiety Disorder",21.8
"Aug",2021,"Delaware","Symptoms of Anxiety Disorder",28.3666666666667
"Dec",2021,"Delaware","Symptoms of Anxiety Disorder",23.4
"Feb",2021,"Delaware","Symptoms of Anxiety Disorder",30.05
"Jan",2021,"Delaware","Symptoms of Anxiety Disorder",34.7
"Jul",2021,"Delaware","Symptoms of Anxiety Disorder",21.9
"Jun",2021,"Delaware","Symptoms of Anxiety Disorder",25.2
"Mar",2021,"Delaware","Symptoms of Anxiety Disorder",28.2666666666667
"May",2021,"Delaware","Symptoms of Anxiety Disorder",23.8
"Oct",2021,"Delaware","Symptoms of Anxiety Disorder",21.8
"Sep",2021,"Delaware","Symptoms of Anxiety Disorder",28.65
"Apr",2022,"Delaware","Symptoms of Anxiety Disorder",22.1
"Aug",2022,"Delaware","Symptoms of Anxiety Disorder",24.4
"Dec",2022,"Delaware","Symptoms of Anxiety Disorder",25.9
"Feb",2022,"Delaware","Symptoms of Anxiety Disorder",29.5
"Jan",2022,"Delaware","Symptoms of Anxiety Disorder",27.4
"Jul",2022,"Delaware","Symptoms of Anxiety Disorder",23.6
"Jun",2022,"Delaware","Symptoms of Anxiety Disorder",20.4
"Mar",2022,"Delaware","Symptoms of Anxiety Disorder",22
"May",2022,"Delaware","Symptoms of Anxiety Disorder",21.9
"Nov",2022,"Delaware","Symptoms of Anxiety Disorder",23.3
"Oct",2022,"Delaware","Symptoms of Anxiety Disorder",28.6
"Sep",2022,"Delaware","Symptoms of Anxiety Disorder",34.4
"Aug",2020,"District of Columbia","Symptoms of Anxiety Disorder",30.6
"Dec",2020,"District of Columbia","Symptoms of Anxiety Disorder",35.1
"Jul",2020,"District of Columbia","Symptoms of Anxiety Disorder",30.9666666666667
"Jun",2020,"District of Columbia","Symptoms of Anxiety Disorder",31.26
"May",2020,"District of Columbia","Symptoms of Anxiety Disorder",32.7
"Nov",2020,"District of Columbia","Symptoms of Anxiety Disorder",40.45
"Oct",2020,"District of Columbia","Symptoms of Anxiety Disorder",34.95
"Sep",2020,"District of Columbia","Symptoms of Anxiety Disorder",36.75
"Apr",2021,"District of Columbia","Symptoms of Anxiety Disorder",31.2
"Aug",2021,"District of Columbia","Symptoms of Anxiety Disorder",27.5333333333333
"Dec",2021,"District of Columbia","Symptoms of Anxiety Disorder",27.2
"Feb",2021,"District of Columbia","Symptoms of Anxiety Disorder",36.1
"Jan",2021,"District of Columbia","Symptoms of Anxiety Disorder",34.4
"Jul",2021,"District of Columbia","Symptoms of Anxiety Disorder",23.2
"Jun",2021,"District of Columbia","Symptoms of Anxiety Disorder",21.95
"Mar",2021,"District of Columbia","Symptoms of Anxiety Disorder",33.9
"May",2021,"District of Columbia","Symptoms of Anxiety Disorder",25.8
"Oct",2021,"District of Columbia","Symptoms of Anxiety Disorder",31.6
"Sep",2021,"District of Columbia","Symptoms of Anxiety Disorder",27.8
"Apr",2022,"District of Columbia","Symptoms of Anxiety Disorder",30.9
"Aug",2022,"District of Columbia","Symptoms of Anxiety Disorder",28.9
"Dec",2022,"District of Columbia","Symptoms of Anxiety Disorder",26.7
"Feb",2022,"District of Columbia","Symptoms of Anxiety Disorder",23.7
"Jan",2022,"District of Columbia","Symptoms of Anxiety Disorder",30.3
"Jul",2022,"District of Columbia","Symptoms of Anxiety Disorder",28.5
"Jun",2022,"District of Columbia","Symptoms of Anxiety Disorder",22.9
"Mar",2022,"District of Columbia","Symptoms of Anxiety Disorder",29
"May",2022,"District of Columbia","Symptoms of Anxiety Disorder",25.3
"Nov",2022,"District of Columbia","Symptoms of Anxiety Disorder",24.4
"Oct",2022,"District of Columbia","Symptoms of Anxiety Disorder",26.1
"Sep",2022,"District of Columbia","Symptoms of Anxiety Disorder",29.3
"Aug",2020,"Florida","Symptoms of Anxiety Disorder",33.7
"Dec",2020,"Florida","Symptoms of Anxiety Disorder",37
"Jul",2020,"Florida","Symptoms of Anxiety Disorder",37.3
"Jun",2020,"Florida","Symptoms of Anxiety Disorder",35.4
"May",2020,"Florida","Symptoms of Anxiety Disorder",30.625
"Nov",2020,"Florida","Symptoms of Anxiety Disorder",36.1
"Oct",2020,"Florida","Symptoms of Anxiety Disorder",31
"Sep",2020,"Florida","Symptoms of Anxiety Disorder",32.05
"Apr",2021,"Florida","Symptoms of Anxiety Disorder",30.2
"Aug",2021,"Florida","Symptoms of Anxiety Disorder",27.5666666666667
"Dec",2021,"Florida","Symptoms of Anxiety Disorder",24.9
"Feb",2021,"Florida","Symptoms of Anxiety Disorder",34.85
"Jan",2021,"Florida","Symptoms of Anxiety Disorder",33.7
"Jul",2021,"Florida","Symptoms of Anxiety Disorder",22.9
"Jun",2021,"Florida","Symptoms of Anxiety Disorder",28.05
"Mar",2021,"Florida","Symptoms of Anxiety Disorder",31.2333333333333
"May",2021,"Florida","Symptoms of Anxiety Disorder",27.5
"Oct",2021,"Florida","Symptoms of Anxiety Disorder",25.7
"Sep",2021,"Florida","Symptoms of Anxiety Disorder",29.65
"Apr",2022,"Florida","Symptoms of Anxiety Disorder",30.9
"Aug",2022,"Florida","Symptoms of Anxiety Disorder",31.4
"Dec",2022,"Florida","Symptoms of Anxiety Disorder",31.1
"Feb",2022,"Florida","Symptoms of Anxiety Disorder",27.9
"Jan",2022,"Florida","Symptoms of Anxiety Disorder",28.9
"Jul",2022,"Florida","Symptoms of Anxiety Disorder",27.8
"Jun",2022,"Florida","Symptoms of Anxiety Disorder",26.9
"Mar",2022,"Florida","Symptoms of Anxiety Disorder",25.5
"May",2022,"Florida","Symptoms of Anxiety Disorder",22.9
"Nov",2022,"Florida","Symptoms of Anxiety Disorder",30.7
"Oct",2022,"Florida","Symptoms of Anxiety Disorder",28.3
"Sep",2022,"Florida","Symptoms of Anxiety Disorder",30.3
"Aug",2020,"Georgia","Symptoms of Anxiety Disorder",31.3
"Dec",2020,"Georgia","Symptoms of Anxiety Disorder",38.15
"Jul",2020,"Georgia","Symptoms of Anxiety Disorder",35.0333333333333
"Jun",2020,"Georgia","Symptoms of Anxiety Disorder",33.42
"May",2020,"Georgia","Symptoms of Anxiety Disorder",30.4
"Nov",2020,"Georgia","Symptoms of Anxiety Disorder",36.9
"Oct",2020,"Georgia","Symptoms of Anxiety Disorder",31.1
"Sep",2020,"Georgia","Symptoms of Anxiety Disorder",31.55
"Apr",2021,"Georgia","Symptoms of Anxiety Disorder",27.9
"Aug",2021,"Georgia","Symptoms of Anxiety Disorder",29.9
"Dec",2021,"Georgia","Symptoms of Anxiety Disorder",25.5
"Feb",2021,"Georgia","Symptoms of Anxiety Disorder",34.85
"Jan",2021,"Georgia","Symptoms of Anxiety Disorder",37.3
"Jul",2021,"Georgia","Symptoms of Anxiety Disorder",24.8
"Jun",2021,"Georgia","Symptoms of Anxiety Disorder",25.85
"Mar",2021,"Georgia","Symptoms of Anxiety Disorder",31.9333333333333
"May",2021,"Georgia","Symptoms of Anxiety Disorder",26.05
"Oct",2021,"Georgia","Symptoms of Anxiety Disorder",31
"Sep",2021,"Georgia","Symptoms of Anxiety Disorder",26.45
"Apr",2022,"Georgia","Symptoms of Anxiety Disorder",27.6
"Aug",2022,"Georgia","Symptoms of Anxiety Disorder",29
"Dec",2022,"Georgia","Symptoms of Anxiety Disorder",33.5
"Feb",2022,"Georgia","Symptoms of Anxiety Disorder",25.5
"Jan",2022,"Georgia","Symptoms of Anxiety Disorder",24.6
"Jul",2022,"Georgia","Symptoms of Anxiety Disorder",26.3
"Jun",2022,"Georgia","Symptoms of Anxiety Disorder",26.2
"Mar",2022,"Georgia","Symptoms of Anxiety Disorder",25
"May",2022,"Georgia","Symptoms of Anxiety Disorder",24.7
"Nov",2022,"Georgia","Symptoms of Anxiety Disorder",29.2
"Oct",2022,"Georgia","Symptoms of Anxiety Disorder",29.5
"Sep",2022,"Georgia","Symptoms of Anxiety Disorder",30.9
"Aug",2020,"Hawaii","Symptoms of Anxiety Disorder",35.4
"Dec",2020,"Hawaii","Symptoms of Anxiety Disorder",32.45
"Jul",2020,"Hawaii","Symptoms of Anxiety Disorder",34.2666666666667
"Jun",2020,"Hawaii","Symptoms of Anxiety Disorder",25.5
"May",2020,"Hawaii","Symptoms of Anxiety Disorder",24.1
"Nov",2020,"Hawaii","Symptoms of Anxiety Disorder",32.7
"Oct",2020,"Hawaii","Symptoms of Anxiety Disorder",31.4
"Sep",2020,"Hawaii","Symptoms of Anxiety Disorder",31.55
"Apr",2021,"Hawaii","Symptoms of Anxiety Disorder",24.5
"Aug",2021,"Hawaii","Symptoms of Anxiety Disorder",24.9333333333333
"Dec",2021,"Hawaii","Symptoms of Anxiety Disorder",27.2
"Feb",2021,"Hawaii","Symptoms of Anxiety Disorder",29.05
"Jan",2021,"Hawaii","Symptoms of Anxiety Disorder",34.4
"Jul",2021,"Hawaii","Symptoms of Anxiety Disorder",22
"Jun",2021,"Hawaii","Symptoms of Anxiety Disorder",24.4
"Mar",2021,"Hawaii","Symptoms of Anxiety Disorder",27.2666666666667
"May",2021,"Hawaii","Symptoms of Anxiety Disorder",20.25
"Oct",2021,"Hawaii","Symptoms of Anxiety Disorder",26.5
"Sep",2021,"Hawaii","Symptoms of Anxiety Disorder",26.2
"Apr",2022,"Hawaii","Symptoms of Anxiety Disorder",19.2
"Aug",2022,"Hawaii","Symptoms of Anxiety Disorder",25.6
"Dec",2022,"Hawaii","Symptoms of Anxiety Disorder",25.8
"Feb",2022,"Hawaii","Symptoms of Anxiety Disorder",29
"Jan",2022,"Hawaii","Symptoms of Anxiety Disorder",26.7
"Jul",2022,"Hawaii","Symptoms of Anxiety Disorder",28.4
"Jun",2022,"Hawaii","Symptoms of Anxiety Disorder",19.9
"Mar",2022,"Hawaii","Symptoms of Anxiety Disorder",20.7
"May",2022,"Hawaii","Symptoms of Anxiety Disorder",20.4
"Nov",2022,"Hawaii","Symptoms of Anxiety Disorder",23.7
"Oct",2022,"Hawaii","Symptoms of Anxiety Disorder",31.3
"Sep",2022,"Hawaii","Symptoms of Anxiety Disorder",30.8
"Aug",2020,"Idaho","Symptoms of Anxiety Disorder",28.7
"Dec",2020,"Idaho","Symptoms of Anxiety Disorder",35.95
"Jul",2020,"Idaho","Symptoms of Anxiety Disorder",34.1333333333333
"Jun",2020,"Idaho","Symptoms of Anxiety Disorder",28.82
"May",2020,"Idaho","Symptoms of Anxiety Disorder",24.5
"Nov",2020,"Idaho","Symptoms of Anxiety Disorder",34.1
"Oct",2020,"Idaho","Symptoms of Anxiety Disorder",30.3
"Sep",2020,"Idaho","Symptoms of Anxiety Disorder",30.25
"Apr",2021,"Idaho","Symptoms of Anxiety Disorder",23.4
"Aug",2021,"Idaho","Symptoms of Anxiety Disorder",25.7333333333333
"Dec",2021,"Idaho","Symptoms of Anxiety Disorder",28.7
"Feb",2021,"Idaho","Symptoms of Anxiety Disorder",31.25
"Jan",2021,"Idaho","Symptoms of Anxiety Disorder",34
"Jul",2021,"Idaho","Symptoms of Anxiety Disorder",24.1
"Jun",2021,"Idaho","Symptoms of Anxiety Disorder",24.2
"Mar",2021,"Idaho","Symptoms of Anxiety Disorder",28.6
"May",2021,"Idaho","Symptoms of Anxiety Disorder",23.45
"Oct",2021,"Idaho","Symptoms of Anxiety Disorder",29.1
"Sep",2021,"Idaho","Symptoms of Anxiety Disorder",25.55
"Apr",2022,"Idaho","Symptoms of Anxiety Disorder",25
"Aug",2022,"Idaho","Symptoms of Anxiety Disorder",26.9
"Dec",2022,"Idaho","Symptoms of Anxiety Disorder",25.8
"Feb",2022,"Idaho","Symptoms of Anxiety Disorder",23.3
"Jan",2022,"Idaho","Symptoms of Anxiety Disorder",24.4
"Jul",2022,"Idaho","Symptoms of Anxiety Disorder",29.8
"Jun",2022,"Idaho","Symptoms of Anxiety Disorder",27.6
"Mar",2022,"Idaho","Symptoms of Anxiety Disorder",27.3
"May",2022,"Idaho","Symptoms of Anxiety Disorder",26.3
"Nov",2022,"Idaho","Symptoms of Anxiety Disorder",31.9
"Oct",2022,"Idaho","Symptoms of Anxiety Disorder",29.6
"Sep",2022,"Idaho","Symptoms of Anxiety Disorder",30.2
"Aug",2020,"Illinois","Symptoms of Anxiety Disorder",33.7
"Dec",2020,"Illinois","Symptoms of Anxiety Disorder",36.65
"Jul",2020,"Illinois","Symptoms of Anxiety Disorder",34
"Jun",2020,"Illinois","Symptoms of Anxiety Disorder",32.16
"May",2020,"Illinois","Symptoms of Anxiety Disorder",31.4
"Nov",2020,"Illinois","Symptoms of Anxiety Disorder",36.8
"Oct",2020,"Illinois","Symptoms of Anxiety Disorder",31.35
